Start Nr.;Zeit 1;Zeit 2;Zeitdifferenz;Platz
21;1:02,88;1:02,84;0:00,04;1
20;1:12,09;1:12,05;0:00,04;2
14;1:03,66;1:03,59;0:00,07;3
4;1:03,32;1:03,22;0:00,10;4
37;1:01,59;1:01,45;0:00,14;5
1;1:03,84;1:03,98;0:00,14;6
25;0:57,63;0:57,40;0:00,23;7
26;0:52,81;0:53,06;0:00,25;8
30;0:59,57;0:59,91;0:00,34;9
40;0:59,93;1:00,41;0:00,48;10
17;0:55,59;0:56,09;0:00,50;11
31;0:55,41;0:55,98;0:00,57;12
39;0:58,19;0:58,80;0:00,61;13
43;0:59,85;1:00,48;0:00,63;14
7;1:08,10;1:08,76;0:00,66;15
51;1:01,48;1:02,15;0:00,67;16
24;0:58,28;0:58,96;0:00,68;17
13;1:00,24;1:00,94;0:00,70;18
2;1:00,62;1:01,48;0:00,86;19
5;1:01,71;1:02,66;0:00,95;20
9;1:15,80;1:16,80;0:01,00;21
22;0:59,98;1:00,98;0:01,00;22
18;1:04,04;1:05,17;0:01,13;23
8;1:04,56;1:05,72;0:01,16;24
15;1:03,69;1:02,50;0:01,19;25
34;1:01,38;1:00,10;0:01,28;26
36;1:01,31;0:59,97;0:01,34;27
35;1:07,23;1:05,66;0:01,57;28
38;1:00,44;1:02,03;0:01,59;29
41;0:59,90;1:01,50;0:01,60;30
45;1:07,87;1:06,22;0:01,65;31
11;1:17,92;1:16,25;0:01,67;32
33;1:03,66;1:01,92;0:01,74;33
12;0:57,90;0:59,66;0:01,76;34
3;1:02,35;1:04,16;0:01,81;35
47;1:15,44;1:17,25;0:01,81;36
10;1:29,95;1:28,04;0:01,91;37
50;1:20,44;1:22,38;0:01,94;38
44;1:12,65;1:10,41;0:02,24;39
27;1:11,00;1:13,24;0:02,24;40
29;1:06,80;1:04,43;0:02,37;41
42;1:12,93;1:15,31;0:02,38;42
19;1:09,42;1:11,88;0:02,46;43
23;1:02,00;1:05,52;0:03,52;44
46;1:08,85;1:12,44;0:03,59;45
6;1:18,29;1:14,07;0:04,22;46
49;1:08,28;1:02,44;0:05,84;47
48;1:14,44;1:23,22;0:08,78;48
16;0:00,00;1:00,00;1:00,00;49
28;0:00,00;1:00,00;1:00,00;49
32;0:00,00;1:00,00;1:00,00;49
52;0:00,00;1:00,00;1:00,00;49
