Start Nr.;Trial Punkte 1;Trial Punkte 2;Gesamtpunkte;Platz
6;0;0;0;1
7;0;0;0;1
20;0;0;0;1
23;0;0;0;1
24;0;0;0;1
25;0;0;0;1
26;0;0;0;1
30;0;0;0;1
17;1;0;1;9
22;1;0;1;9
51;1;0;1;9
43;2;0;2;12
2;4;0;4;13
11;4;0;4;13
13;4;0;4;13
19;4;0;4;13
33;4;0;4;13
5;3;1;4;18
38;3;1;4;18
39;1;3;4;18
14;5;0;5;21
31;0;5;5;21
36;5;0;5;21
40;0;5;5;21
27;1;4;5;25
35;3;3;6;26
1;2;5;7;27
29;5;2;7;27
37;5;2;7;27
15;4;3;7;30
4;5;3;8;31
41;3;5;8;31
8;4;4;8;36
10;4;4;8;36
18;4;4;8;36
46;4;4;8;36
47;4;4;8;36
50;4;4;8;36
3;4;5;9;39
21;5;4;9;39
42;4;5;9;39
45;5;4;9;39
48;5;4;9;39
9;5;5;10;44
12;5;5;10;44
34;5;5;10;44
44;5;5;10;44
49;5;5;10;44
16;5;2;7;49
28;3;4;7;49
32;2;4;6;49
52;20;20;40;49
