Platz;Start Nr.;Zeit 1;Zeit 2;Gesamtzeit
1;50;4,27;4,10;8,37
2;10;4,25;4,21;8,46
3;9;4,29;4,27;8,56
3;38;4,29;4,27;8,56
5;26;4,39;4,18;8,57
6;28;4,41;4,28;8,69
7;8;4,36;4,35;8,71
8;46;4,29;4,44;8,73
9;1;4,49;4,27;8,76
10;40;4,33;4,46;8,79
11;15;4,53;4,29;8,82
12;7;4,27;4,61;8,88
13;53;4,59;4,30;8,89
14;11;4,32;4,59;8,91
15;21;4,46;4,46;8,92
15;22;4,60;4,32;8,92
17;45;4,60;4,34;8,94
18;55;4,47;4,48;8,95
19;34;4,56;4,41;8,97
20;3;4,48;4,50;8,98
21;31;4,38;4,61;8,99
22;12;4,62;4,40;9,02
23;24;4,42;4,61;9,03
24;43;4,68;4,38;9,06
25;25;4,52;4,57;9,09
26;36;4,47;4,63;9,10
26;42;4,42;4,68;9,10
28;57;4,66;4,50;9,16
29;5;4,71;4,48;9,19
30;13;4,55;4,69;9,24
31;19;4,33;4,93;9,26
32;44;4,65;4,62;9,27
32;66;4,61;4,66;9,27
34;4;4,65;4,67;9,32
35;56;4,77;4,56;9,33
36;18;4,69;4,65;9,34
37;14;4,59;4,77;9,36
38;48;4,64;4,76;9,40
39;47;4,54;4,89;9,43
40;52;4,58;4,86;9,44
41;23;4,76;4,74;9,50
42;6;4,72;4,81;9,53
43;2;4,87;4,70;9,57
44;68;4,91;4,70;9,61
45;29;4,69;4,95;9,64
46;20;4,87;4,86;9,73
47;65;4,82;4,94;9,76
48;54;4,81;5,00;9,81
48;58;5,34;4,47;9,81
50;49;4,89;4,95;9,84
51;39;4,91;4,99;9,90
52;27;4,77;5,15;9,92
53;72;5,56;4,50;10,06
54;35;4,96;5,12;10,08
55;69;5,04;5,05;10,09
56;30;5,17;4,96;10,13
57;59;5,32;4,82;10,14
58;32;5,25;5,01;10,26
59;17;5,55;4,76;10,31
60;63;5,27;5,18;10,45
60;73;5,28;5,17;10,45
62;33;5,32;5,40;10,72
63;51;5,31;5,45;10,76
64;61;5,72;5,06;10,78
65;70;5,61;5,29;10,90
66;74;5,44;5,72;11,16
67;67;5,61;5,57;11,18
68;16;5,60;5,66;11,26
69;64;5,90;6,18;12,08
70;60;6,41;5,92;12,33
71;62;6,27;6,37;12,64
72;37;99,99;4,83;104,82
73;41;99,99;99,99;199,98
73;71;99,99;99,99;199,98
73;75;99,99;99,99;199,98
73;76;99,99;99,99;199,98
73;77;99,99;99,99;199,98
73;78;99,99;99,99;199,98
73;79;99,99;99,99;199,98
73;80;99,99;99,99;199,98
73;81;99,99;99,99;199,98
73;82;99,99;99,99;199,98
73;83;99,99;99,99;199,98
73;84;99,99;99,99;199,98
73;85;99,99;99,99;199,98
73;86;99,99;99,99;199,98
73;87;99,99;99,99;199,98
73;88;99,99;99,99;199,98
73;89;99,99;99,99;199,98
73;90;99,99;99,99;199,98
73;91;99,99;99,99;199,98
73;92;99,99;99,99;199,98
73;93;99,99;99,99;199,98
73;94;99,99;99,99;199,98
73;95;99,99;99,99;199,98
73;96;99,99;99,99;199,98
73;97;99,99;99,99;199,98
73;98;99,99;99,99;199,98
73;99;99,99;99,99;199,98
